month,category,monthly_income,prev_month_expense,savings_rate,expense_ratio,safe_spending_limit
11,Investment,100860,13901.71,0.8622,0.1378,75510.43
5,Food,51685,9785.86,0.8107,0.1893,33598.07
12,Medical,183104,3220.82,0.9824,0.0176,128626.76
7,Shopping,51899,4467.8,0.9139,0.0861,35941.52
7,Food,456840,88389.7,0.8065,0.1935,306687.18
4,Entertainment,452801,23470.64,0.9482,0.0518,306715.73
4,Food,28943,3055.19,0.8944,0.1056,19963.12
2,Shopping,402283,31435.43,0.9219,0.0781,267002.79
8,Travel,22869,2587.24,0.8869,0.1131,15435.95
12,Bills,139099,7709.79,0.9446,0.0554,98265.98
1,Investment,72002,18537.13,0.7425,0.2575,47174.5
12,Entertainment,31184,2840.32,0.9089,0.0911,22328.45
11,Rent,473109,147242.61,0.6888,0.3112,346513.75
10,Rent,50206,12377.01,0.7535,0.2465,36792.31
11,Shopping,398286,70802.89,0.8222,0.1778,287791.03
12,Shopping,202693,35269.68,0.826,0.174,140985.51
9,Shopping,16306,1163.16,0.9287,0.0713,11208.52
3,Investment,428576,94338.54,0.7799,0.2201,299665.19
1,Shopping,16853,1356.14,0.9195,0.0805,11129.15
1,Food,15698,1879.82,0.8803,0.1197,11201.76
2,Travel,96717,13076.0,0.8648,0.1352,64504.81
11,Investment,152662,17936.7,0.8825,0.1175,111507.43
11,Medical,24339,2328.8,0.9043,0.0957,18109.81
7,Shopping,102911,11589.96,0.8874,0.1126,72926.82
9,Bills,58155,3821.17,0.9343,0.0657,40633.18
9,Shopping,196601,12104.21,0.9384,0.0616,140138.2
11,Entertainment,491999,27357.28,0.9444,0.0556,371701.46
1,Investment,112874,23931.85,0.788,0.212,76309.57
9,Food,15098,1451.81,0.9038,0.0962,10502.73
4,Groceries,23352,2936.84,0.8742,0.1258,16395.25
1,Rent,70880,20881.27,0.7054,0.2946,48998.7
6,Investment,405362,72425.0,0.8213,0.1787,279855.14
3,Shopping,22996,937.34,0.9592,0.0408,16461.27
5,Medical,282989,11562.51,0.9591,0.0409,192424.85
3,Groceries,315294,18409.6,0.9416,0.0584,210866.5
9,Medical,76641,5962.92,0.9222,0.0778,50337.99
11,Food,49190,5988.45,0.8783,0.1217,36214.09
10,Rent,44190,11864.56,0.7315,0.2685,30455.74
8,Rent,102368,17784.79,0.8263,0.1737,70683.02
10,Medical,78312,4761.5,0.9392,0.0608,57824.62
1,Investment,192772,36448.34,0.8109,0.1891,126453.48
4,Rent,389407,128302.96,0.6705,0.3295,267188.12
8,Rent,71136,17020.5,0.7607,0.2393,46364.63
7,Bills,468093,38142.7,0.9185,0.0815,318754.79
5,Groceries,22404,4461.71,0.8009,0.1991,15521.95
10,Rent,69531,22849.36,0.6714,0.3286,46894.63
12,Travel,129124,12405.57,0.9039,0.0961,94539.73
10,Rent,32390,14051.75,0.5662,0.4338,22139.29
11,Shopping,41347,5493.55,0.8671,0.1329,29705.6
8,Food,238304,12007.49,0.9496,0.0504,165835.89
10,Food,314585,29861.63,0.9051,0.0949,231767.66
9,Shopping,22164,1647.83,0.9257,0.0743,15943.35
1,Entertainment,137841,8197.33,0.9405,0.0595,91898.84
9,Rent,374358,72876.49,0.8053,0.1947,264990.07
3,Groceries,266234,23075.53,0.9133,0.0867,179666.25
4,Rent,182637,32700.74,0.821,0.179,126416.01
5,Shopping,111130,11590.43,0.8957,0.1043,79476.29
10,Travel,36174,7684.0,0.7876,0.2124,27436.05
1,Medical,27539,795.25,0.9711,0.0289,18040.62
